#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;;;;;;;;;;;Îáðàç æèçíè áåçäåòíîãî ïðèäâîðíîãî çàñòàâèë ìåíÿ ïîäîçðåâàòü, ÷òî îí ôàíòàçèðóåò î äðóãèõ ìóæ÷èíàõ!;;x
EVTDESC69001;[From.GetTitledFirstName] asked me today if I really fancied men over women!;;;;;;;;;;;[From.GetTitledFirstName] ñïðîñèë[From.GetEndA] ìåíÿ ñåãîäíÿ äåéñòâèòåëüíî ëè ÿ ïðåäïî÷èòàþ ìóæ÷èí, à íå æåíùèí!;;x
EVTDESC69002;A note left on my table by an unseen visitor told me that if I did not deliver fifty gold within one hour to [From.GetTitledFirstName], my secret would be a secret no more. A small post scriptum wrote: 'the secret is that you are a sodomite'.;;;;;;;;;;;"Â çàïèñêå, îñòàâëåííîé íà ìî¸ì ñòîëå íåèçâåñòíûì, ñêàçàíî, ÷òî åñëè [From.GetTitledFirstName] íå ïîëó÷èò îò ìåíÿ â òå÷åíèå îäíîãî ÷àñà ïÿòüäåñÿò çîëîòûõ, ìîÿ òàéíà ñòàíåò âñåîáùèì äîñòîÿíèåì. Íåáîëüøîé ïîñòñêðèïòóì: ""Ñåêðåò â òîì, ÷òî Âû - ñîäîìèò"".";;x
EVTDESC69003;A childless courtier with a strange choice of lifestyle has shown men a bit more attention than the women at court. Might it be that he is a sodomite?;;;;;;;;;;;Áåçäåòíûé ïðèäâîðíûé ñî ñòðàííûì âûáîðîì îáðàçà æèçíè óäåëèë ìóæ÷èíå íåìíîãî áîëüøå âíèìàíèÿ, ÷åì ïðèäâîðíîé äàìå. Ìîæåò ëè áûòü, ÷òî îí ñîäîìèò?;;x
EVTDESC69004;[From.GetTitledFirstName] started questioning my lifestyle, asked why I didn't have any children and made me feel incredibly awkward. My answers did not seem to satisfy [From.GetHerHim] and finally [From.GetSheHe] blurted out [From.GetHerHis] question: was I or was I not a sodomite?;;;;;;;;;;;[From.GetTitledFirstName], íà÷àâ ñîìíåâàòüñÿ â ìî¸ì îáðàçå æèçíè, ñïðîñèë, ïî÷åìó ó ìåíÿ äî ñèõ ïîð íå áûëî äåòåé, ÷òî çàñòàâèëî ìåíÿ ïî÷óâñòâîâàòü ñåáÿ íåâåðîÿòíî íåëîâêî. Ìîè îòâåòû, ïî-âèäèìîìó, áûëè íåóáåäèòåëüíû è, íàêîíåö, îí âûïàëèë ñâîé âîïðîñ: ñîäîìèò ÿ èëè íåò?;;x
EVTDESC69005;I need to prove to everyone who thinks I prefer men over women that I am not a sodomite!;;;;;;;;;;;Ìíå íóæíî äîêàçàòü âñåì, êòî äóìàåò, ÷òî ÿ ïðåäïî÷èòàþ ìóæ÷èí, ÷òî ÿ íå ñîäîìèò!;;x
EVTDESC69006;An unfriendly [Root.Religion.GetPriestTitle] denounced me in front of everyone today because of the silly rumors about me being a sodomite!;;;;;;;;;;;Ñâÿùåííèê, ïðîïîâåäóþùèé [Root.GetReligionFullName], ñåãîäíÿ îñóäèë ìåíÿ íà ãëàçàõ âñåé öåðêâè, ïîòîìó ÷òî äî íåãî äîøëè ãëóïûå ñëóõè, ÷òî ÿ - ñîäîìèò!;;x
EVTDESC69007;I have started to doubt myself, might it be that the rumors are true? Am I a sodomite, attracted to men rather than women?;;;;;;;;;;;ß óæå íà÷àë ñîìíåâàòüñÿ â ñåáå. Ìîæåò ëè áûòü, ÷òî ýòè ñëóõè - ïðàâäà? ß ñîäîìèò, ìåíÿ âëå÷¸ò ê ìóæ÷èíàì âìåñòî æåíùèí?;;x
EVTDESC69010;The affection a courtier shows his sister is unnatural. I have begun to suspect they might be having a incestuous affair!;;;;;;;;;;;Ïðèâÿçàííîñòü ïðèäâîðíîãî, êîòîðóþ îí âûêàçûâàåò ñåñòðå - íååñòåñòâåííà. ß íà÷èíàþ äóìàòü, ÷òî èõ îòíîøåíèÿ ïîïàõèâàþò èíöåñòîì!;;x
EVTDESC69011;When [From.GetTitledFirstName] started implying that I and my sister had an incestuous affair I could do nothing but deny, deny and deny. No matter what 'evidence' [From.GetFirstName] think [From.GetSheHe] has, [From.GetSheHe] cannot prove anything!;;;;;;;;;;;"Êîãäà [From.GetTitledFirstName] íà÷àë íàìåêàòü, ÷òî ÿ è ìîÿ ñåñòðà íàõîäÿòñÿ â êðîâîñìåñèòåëüíîé ñâÿçè, ÿ íè÷åãî íå ìîã ñäåëàòü, êðîìå êàê îòðèöàòü, îòðèöàòü è åù¸ ðàç îòðèöàòü. Íåçàâèñèìî îò òîãî, ÷òî äóìàåò [From.GetFirstName] è êàêèå ""äîêàçàòåëüñòâà"" ó íåãî åñòü, îí íå ñìîæåò íè÷åãî äîêàçàòü!";;x
EVTDESC69012;[From.GetTitledFirstName] asked me what [From.GetHerHis] silence was worth to me, and when I asked [From.GetHerHim] what in the world [From.GetSheHe] was talking about, [From.GetTitledFirstName] told me [From.GetSheHe] knows about my incestuous affair with my sister. If I did not pay [From.GetHerHim], there would be nothing stopping [From.GetHerHim] from telling everybody about our forbidden love.;;;;;;;;;;;[From.GetTitledFirstName] ñïðîñèë ìåíÿ, âî ñêîëüêî ÿ îöåíèâàþ åãî ìîë÷àíèå. ß ñïðîñèë åãî, ÷òî îí èìååò â âèäó è [From.GetTitledFirstName] îòâåòèë ìíå, ÷òî çíàåò î ìîåé êðîâîñìåñèòåëüíîé ñâÿçè ñ ñåñòðîé. Åñëè ÿ íå áóäó ïëàòèòü åìó, íå îñòàíåòñÿ íè÷åãî, ÷òî ìåøàëî áû åìó ðàññêàçàòü âñåì î íàøåé çàïðåòíîé ëþáâè.;;x
