#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME88000;Birth of the Assassins;;;;;;;;;;;Pîæäåíèå óáèéö;;x
EVTNAME88001;The Assassins Spread to Syria;;;;;;;;;;;Cèðèÿ ïîä âëèÿíèåì Àññàñèíîâ;;x
EVTNAME88002;The Assassins Scatter!;;;;;;;;;;;Oðäåí Óáèéö ðàçáèò;;x
EVTNAME88003;The Assassins Resurface!;;;;;;;;;;;Bîçðîæäåíèå îðäåíà Óáèéö;;x
EVTNAME88004;The Assassins are Destroyed!;;;;;;;;;;;Oðäåí Óáèéö óíè÷òîæåí;;x
EVTNAME88007;The [From.GetTitle] is Dead!;;;;;;;;;;;Kàðàþùàÿ äëàíü àññàñèíîâ;;x
EVTNAME88009;The [From.GetTitle] Foils Assassins!;;;;;;;;;;;Hà ýòîò ðàç [From.GetTitle] èçáåãàåò óáèéö!;;x
EVTDESC88000;Word is spreading that a [Root.Religion.GetName] missionary, Hassan-i Sabbah, has founded a religious order known as the 'Hashshashin' somewhere in western Persia. Using trickery and guile, this mysterious cult of trained killers has seized control of the mountain fortress of Alamut and converted it into their headquarters. Already a string of violent murders can be traced back to Hassan's devoted and fearless disciples...;;;;;;;;;;;"Ðàñïðîñòðàíÿåòñÿ èçâåñòèå î òîì, ÷òî íåêèé ïðîïîâåäíèê [Root.GetReligionNameGEN], Õàñàí èáí Ñàááàõ, îñíîâàë ðåëèãèîçíûé îðäåí, èçâåñòíûé êàê ""Õàøàøèí"" ãäå-òî â çàïàäíîé Ïåðñèè. Èñïîëüçóÿ õèòðîñòü è êîâàðñòâî, ýòîò òàèíñòâåííûé êóëüò ïîäãîòîâëåííûõ óáèéö óæå âçÿë ïîä ñâîé êîíòðîëü ãîðíóþ êðåïîñòü Àëàìóò è ïðåâðàòèë å¸ â ñâîþ øòàá-êâàðòèðó. Ïðîñëåæèâàåòñÿ öåëàÿ öåïî÷êà êðîâàâûõ óáèéñòâ, òÿíóùàÿñÿ çà ïðåäàííûìè è áåññòðàøíûìè ó÷åíèêàìè Õàñàíà...";;x
EVTDESC88000_ASSASSIN;Finally, a new era of righteousness has begun. For many years we have worked in the shadows, but the rumors are no longer whispered. The name of 'Hassan-i Sabbah', the conqueror of our mountain fortress of Alamut, is known throughout [Root.PrimaryTitle.GetName] and beyond. The faithful and meek shall find shelter under our wings while the impious and infidels shall fear our fury!;;;;;;;;;;;"Íàêîíåö-òî íà÷àëàñü íîâàÿ ýðà ïðàâåäíîñòè. Ìíîãî ëåò ìû ðàáîòàëè â òåíè, íî òåïåðü ìû ìîæåì íå øåïòàòüñÿ, à ñêàçàòü ãðîìêî è ÿñíî. Èìÿ ""Õàñàí èáí Ñàááàõ"", çàâîåâàòåëÿ âûñîêîãîðíîé êðåïîñòè Àëàìóò, òåïåðü èçâåñòíîå äàëåêî çà å¸ ïðåäåëàìè, áóäåò âñåëÿòü óæàñ â ñåðäöà íåâåðíûõ, à âåðóþùèå áóäóò èñêàòü ó íàñ óáåæèùå.";;x
EVTDESC88001;The Hashshashin, the elusive Order of Assassins, have expanded their influence into Syria. A branch of their sect has established itself in the mountain fortress of Masyaf, from where they control the surrounding countryside. All across the Holy Land, the Assassins are now hunting those they see as obstacles to their obscure plans...;;;;;;;;;;;Àññàñèíû, íåóëîâèìûé îðäåí Óáèéö ðàñøèðèë ñâî¸ âëèÿíèå â Ñèðèè. Îáîñíîâàâøèñü â ãîðíîé êðåïîñòè Ìàñèàô, îíè êîíòðîëèðóþò îêðåñòíîñòè. Ïî âñåé Ñâÿòîé Çåìëå îíè îõîòÿòñÿ íà òåõ, êòî ñòîèò íà èõ ïóòè.;;x
EVTDESC88001_ASSASSIN;News of our Order's successful occupation of the mountain fortress of Masyaf in Syria is spreading. Our enemies, the infidels and the impious, have begun to realize what they are dealing with. May they cower in fear!;;;;;;;;;;;Íîâîñòè î òîì, ÷òî íàø îðäåí óñïåøíî âçÿë âûñîêîãîðíóþ êðåïîñòü Ìàñèàô â Ñèðèè, ñòðåìèòåëüíî ðàñïðîñòðàíÿåòñÿ. Íàøè âðàãè, íåâåðíûå è íå÷åñòèâûå, íàêîíåö, íà÷àëè ïîíèìàòü ñ ÷åì îíè èìåþò äåëî. ×òî æ, ïóñòü äðîæàò îò ñòðàõà!;;x
EVTDESC88002;With the fall of their last fortress, the Hashshashin - the notorious Assassin Order - has been scattered to the winds. The few remaining members of the order have gone into hiding, biding their time in the vain hope that they will one day be able to resume their work.;;;;;;;;;;;Ñ ïàäåíèåì ïîñëåäíåé êðåïîñòè ïðåñëîâóòûé îðäåí Óáèéö áûë ðàçâåÿí ïî âåòðó. Òå íåìíîãèå ÷ëåíû îðäåíà, êîòîðûì óäàëîñü óöåëåòü, óøëè â ïîäïîëüå íàäåÿñü îäíàæäû âåðíóòüñÿ ê ñâîåé ðàáîòå.;;x
EVTDESC88002_ASSASSIN;With the fall of our last fortress, our Order has been forced into hiding. Some may think this is the end, but they are fools. We have worked from the shadows before and will do so again. One day we shall rise again, mightier than ever!;;;;;;;;;;;Ñ ïàäåíèåì ïîñëåäíåé êðåïîñòè íàø îðäåí áûë âûíóæäåí óéòè â ïîäïîëüå. Íåäàëüíîâèäíûå ãëóïöû ìîãóò ïîäóìàòü, ÷òî ýòî êîíåö, íî ìû óæå äåéñòâîâàëè â òåíè è ñäåëàåì ýòî ñíîâà. Îäíàæäû ìû âîçðîäèìñÿ è áóäåì ñèëüíåå ÷åì êîãäà-ëèáî!;;x
EVTDESC88003;The Hashshashin have returned! Somehow, throughout the years, their surviving members have managed to rebuild a measure of their order's former strength. Striking from the shadows, they have retaken one of their old mountain fortresses and now their trained killers are once again hounding those who would act against their interests...;;;;;;;;;;;Àññàñèíû âåðíóëèñü! Íà ïðîòÿæåíèè ìíîãèõ ëåò îíè âîññòàíàâëèâàëè ñèëû. Óäàðîì èç òåíè, èìè áûëà îòáèòà îäíà èç ñòàðåéøèõ ãîðíûõ êðåïîñòåé, è òåïåðü îáó÷åííûå óáèéöû ñíîâà óíè÷òîæàþò òåõ, êòî äåéñòâóåò âîïðåêè èõ èíòåðåñàì.;;x
EVTDESC88003_ASSASSIN;Praised be Allah! The Assassins will never be broken! We have suffered in the shadows for many years, but now, a new era begins. We rebuilt our strength and recaptured the mountain fortresses of old. Our enemies will sleep with one eye open from now on...;;;;;;;;;;;Õâàëà [Root.GetAssasinsHGod]ó! Àññàñèíû íèêîãäà íå áóäóò ðàçáèòû! Ìíîãî ëåò ìû ïðÿòàëèñü â òåíè, íî ñåé÷àñ íàñòóïèëà íîâàÿ ýðà. Ìû âîññòàíîâèëè ñâîè ñèëû è îòáèëè ñòàðûå êðåïîñòè. Ñ ýòîãî ìîìåíòà íàøè âðàãè áóäóò ñïàòü ñ îäíèì îòêðûòûì ãëàçîì...;;x
EVTDESC88004;The Hashshashin are no more. As their fortresses and mountain hideouts burn, the last members of the once feared Assassin Order are hunted like animals and cut down without mercy or compassion when found. Their legacy now survives only in the legends and stories spawned from their exploits.;;;;;;;;;;;Àññàñèíû óíè÷òîæåíû! Èõ êðåïîñòè è áàçû ñîææåíû. Ïîñëåäíèå ÷ëåíû, íåêîãäà âñåëÿþùåãî ñòðàõ, îðäåíà Óáèéö îõîòÿòñÿ íà æèâîòíûõ, óìèðàÿ áåç íàäåæäû íà ñîñòðàäàíèå è ìèëîñåðäèå. Âîñïîìèíàíèÿ îá èõ ïîäâèãàõ îñòàëèñü ëèøü â ëåãåíäàõ è ïðåäàíèÿõ.;;x
EVTDESC88004_ASSASSIN;This is a dark day, indeed. Our righteous order has suffered an enormous setback. All of our mountain fortresses and hideouts have been found and burnt to the ground. The few members who survived the infidels' onslaught are hiding amongst enemies, always in danger. While an era has ended and even though our former glory might never be restored, we shall never give up.;;;;;;;;;;;Âî èñòèíó ÷¸ðíûé äåíü. Íàø îðäåí ïîòåðïåë ñîêðóøèòåëüíîå ïîðàæåíèå. Âñå íàøè âûñîêîãîðíûå êðåïîñòè è óêðûòèÿ áûëè íàéäåíû è ñîææåíû äîòëà. Òå íåìíîãèå, êòî ïåðåæèë íàïàäåíèå íåâåðíûõ, âûíóæäåíû ñêðûâàòüñÿ ñðåäè âðàãîâ. Õîòÿ íàøà ýïîõà çàêîí÷èëàñü è íàøà ïðåæíÿÿ ñëàâà, âîçìîæíî, íèêîãäà íå áóäåò âîññòàíîâëåíà, ìû íå ñäàäèìñÿ, íèêîãäà!;;x
EVTDESC88007;The word is spreading like wildfire across the lands of the East! Members of the Hashshashin have killed the great warlord [From.GetTitledName]. They stabbed him at his camp in full view of his men, and though the assassins outlived the [From.GetTitle] by only a few seconds, their mission was accomplished. His men swear vengeance against the Assassin Order!;;;;;;;;;;;Ñëîâî ðàñïðîñòðàíÿåòñÿ, êàê ëåñíîé ïîæàð ïî çåìëÿì Âîñòîêà! Âåëèêèé ïîëêîâîäåö [From.GetTitledName] óáèò[From.GetEndA] àññàñèíàìè. Îíè çàðåçàëè [From.GetHersHis] â ëàãåðå íà âèäó ó âñåõ, è õîòÿ óáèéöû ïðîæèëè âñåãî íà íåñêîëüêî ñåêóíä áîëüøå, ÷åì [From.GetTitle], èõ ìèññèÿ âûïîëíåíà. [From.GetHersHisCap] ïîääàííûå êëÿíóòñÿ îòîìñòèòü îðäåíó Óáèéö.;;x
EVTDESC88009;Not even the dreaded Hashshashin have been able to give pause to the Mongols in their bid to conquer the world. Several of their members have been killed in a failed attempt on the life of [From.GetTitledName]. He and his men now swear revenge against the hated Order of Assassins.;;;;;;;;;;;Àññàñèíû ñìîãëè íåìíîãî ïðèîñòàíîâèòü ìîíãîëîâ â èõ ïëàíàõ ïî çàâîåâàíèþ ìèðà. Íåñêîëüêî ÷ëåíîâ îðäåíà ïîãèáëè â òùåòíûõ ïîïûòêàõ óáèòü èõ ïîëêîâîäöà. [From.GetTitledName] è [From.GetHersHis] îêðóæåíèå ïîêëÿëèñü îòîìñòèòü.;;x
EVTDESC88010;"You wake suddenly in cold sweat with a strong sensation that something is amiss. The flickering candlelight in your tent reveals a plate of hot biscuits and a note pinned by a poisoned dagger next to your bed. It reads: ""Mend your decadent ways before it is too late, [Root.GetFirstName]. The Hashshashin are watching.""";;;;;;;;;;;"Âû ïðîñûïàåòåñü â õîëîäíîì ïîòó, ñ îùóùåíèåì, ÷òî ÷òî-òî íå òàê. Ìåðöàíèå ñâå÷åé îñâåùàåò òàðåëêó ñ ãîðÿ÷èìè ïå÷åíüÿìè è çàïèñêîé íà îòïðàâëåííîì êèíæàëå ðÿäîì ñ êðîâàòüþ. Òåêñò ãëàñèò: ""Îñòàâüòå ñâîé íåâåðíûé ïóòü, ïîêà íå ñòàëî ñëèøêîì ïîçäíî, [Root.GetFirstName]. Àññàñèíû ñëåäÿò çà Âàìè.""";;x
EVTDESC88011;"Master, terrible news! Your faithful servant, [From.GetTitledName], has been found dead in [From.GetHerHis] home, no doubt at the hands of the vile Hashshashin. Carved by knife into [From.GetHerHis] chest were the words: ""[Root.GetFirstName] - You were warned.""";;;;;;;;;;;"[Root.PrimaryTitle.GetFOA], óæàñíàÿ íîâîñòü! [From.GetTitledName] óáèò[From.GetEndA] â ñâî¸ì äîìå, íåñîìíåííî àññàñèíàìè. Íàäïèñü, ñäåëàííàÿ íîæîì íà [From.GetHersHis] ãðóäè ãëàñèò: ""[Root.GetFirstName], Âàñ ïðåäóïðåæäàëè.""";;x
