EVTDESCRIP.15001;You order tar be poured over [From.GetTitledFirstName], after which [From.GetSheHe] is rolled in feathers. Your guards laugh as they wheel [From.GetHerHim] around the city. Commoners and nobles alike sneer incredulously at [From.GetTitledFirstName]. What a display!;;;;;;;;;;;Ïî Âàøåìó ïðèêàçó [From.GetTitledFirstName] ïîëó÷èë[From.GetEndA] ñâî¸ íàêàçàíèå - [From.GetHersHis] îáëèëè ä¸ãòåì è âûâàëÿëè â ïåðüÿõ. Ñòðàæíèêè íå ìîãëè ñäåðæàòü ñìåõà, ïîêà âîçèëè [From.GetHersHis] ïî îêðóãå. Çíàòü è ïðîñòîëþäèíû ïðåçðèòåëüíî óõìûëÿëèñü, ãëÿäÿ íà ýòî ïðåäñòàâëåíèå.;;x
EVTDESCRIP.15002;Your [FromFrom.GetTitledFirstName] has decided to be merciful and you are safe from the rack. However, before your release you are to be drenched in tar and rolled in feathers. You will then be put on a cart and wheeled through the streets. The guard escorting you to your sentence snickers delightedly at your predicament.;;;;;;;;;;;[FromFrom.GetTitledFirstName] ðåøèë[FromFrom.GetEndA] ïðîÿâèòü ìèëîñåðäèå, èçáàâèâ Âàñ îò êàçíè. Îäíàêî, ïðåæäå ÷åì îòïóñòèòü, Âàñ ïîëèëè ä¸ãòåì è âûâàëÿëè â ïåðüÿõ. Çàòåì, óñàäèâ â ïîâîçêó ïðîâåçëè ïî îêðóãå. Ñòðàæíèêè è ìåñòíûå æèòåëè, ñòàâøèå ñâèäåòåëÿìè ýòîãî áåçîáðàçèÿ, ëèøü ïðåçðåçííî óñìåõàëèñü, ãëÿäÿ íà Âàñ.;;x
EVTDESCRIP.15003;After some struggle [From.GetTitledFirstName] is dragged from [From.GetHerHis] cell, out to the town square and put in the stocks. [From.GetSheHeCap] will learn to respect you soon enough.;;;;;;;;;;;[From.GetTitledFirstName] ïûòà[From.GetLasLsya] ñîïðîòèâëÿòüñÿ, íî â êîíå÷íî ñ÷¸òå [From.GetHersHis] âûòàùèëè èç êàìåðû è çàêîâàëè â êîëîäêè ïðÿìî íà öåíòðàëüíîé ïëîùàäè. Ýòî íàó÷èò [From.GetHersHis] óâàæåíèþ.;;x
EVTDESCRIP.15004;"The guards rouse you from your slumber and you are dragged from your cell. Your [From.GetTitledFirstName] has decided to release you, but not before you have spent some time in the stocks. ""Discourages the youth from causing trouble"", one guard mumbles. ""Oh, and expect rotten tomatoes.""";;;;;;;;;;;"Ñòðàæíèêè ðàçáóäèëè Âàñ è âûòàùèëè èç êàìåðû. [From.GetTitledFirstName] ðåøèë[From.GetEndA] îñâîáîäèòü Âàñ, íî íå ñðàçó, ñíà÷àëà Âû ïðîâåä¸òå âðåìÿ â êîëîäêàõ íà öåíòðàëüíîé ïëîùàäè. ""Ñëåäèòå çà ìîëîäåæüþ, ÷òîáû íå íàòâîðèëè ÷åãî, — ïðîáóáíèë ñòðàæíèê. — Äóìàþ, òóõëûìè ïîìèäîðàìè ñåãîäíÿ íå îãðàíè÷èìñÿ"".";;x
EVTDESCRIP.15005;The scurrilous [From.GetTitledFirstName] is bound by the hands and led through the crowded streets, dressed in naught but [From.GetHerHis] shame. May your people and the heavens bear witness to [From.GetHerHis] repentance!;;;;;;;;;;;[From.GetTitledFirstName] ïîëó÷èë[From.GetEndA] ñâî¸ íàêàçàíèå. [From.GetHerHimCap] ñâÿçàëè ðóêè è íàã[From.GetOyIm] ïðîâåëè ïî ìíîãîëþäíûì óëèöàì. Ïóñòü Âàø íàðîä è íåáåñà ñòàíóò ñâèäåòåëÿìè [From.GetHersHis] ïîêàÿíèÿ!;;x
EVTDESCRIP.15006;Your [From.GetTitledFirstName] has sentenced you. To repent for your unsavory crimes, you are to be led through the crowded streets, naked in front of the people as well as the heavens. Shame is your name.;;;;;;;;;;;"[From.GetTitledFirstName] âûíåñ[From.GetNoneE] ñâîé ïðèãîâîð - Âàñ íàã[Root.GetOyIm] ïðîâåäóò ïî ìíîãîëþäíûì óëèöàì ÷åðåç òîëïó çåâàê, ÷òîáû ""íàðîä è íåáåñà ñòàëè ñâèäåòåëÿìè Âàøåãî èñêóïëåíèÿ"". Òåïåðü ïîçîð - Âàøå èìÿ!";;x
EVTDESCRIP.15007;You order [From.GetTitledFirstName] be stripped of [From.GetHerHis] clothing, [From.GetHerHis] hands and feet bound, before [From.GetSheHe] is slung up on horseback. The [GetRootFromInsult] will be paraded around your camp: let all bear witness to [From.GetHerHis] humiliation!;;;;;;;;;;;Ïî Âàøåìó ïðèêàçó [From.GetTitledFirstName] ïîëó÷èë[From.GetEndA] ñâî¸ íàêàçàíèå - [From.GetHersHis] ðàçäåëè äî ãîëà, ñâÿçàëè ðóêè è íîãè, à çàòåì óñàäèëè íà ëîøàäü. [GetRootFromInsult] ïðîêàòèòñÿ â òàêîì âèäå ïî ëàãåðþ - ïóñòü âñå ñòàíóò ñâèäåòåëÿìè [From.GetHersHis] óíèæåíèÿ!;;x
EVTDESCRIP.15008;"What seems like an ordinary day in your confinement takes a brusque turn when guards appear to strip you of your clothing. [From.GetTitledFirstName] has sentenced you to be tied up and paraded around camp on horseback. ""You'll be nude, but you'll live"", a guards spits, disappointment in his voice.";;;;;;;;;;;"Òî, ÷òî êàçàëîñü îáû÷íûì äí¸ì â çàêëþ÷åíèè, ïðèíÿëî íåîæèäàííûé ïîâîðîò, êîãäà ñòðàæíèêè ðàçäåëè Âàñ äî ãîëà. [From.GetTitledFirstName] ðàñïîðÿäè[From.GetLasLsya], ÷òîáû Âàñ ñâÿçàëè è â òàêîì âèäå ïðîêàòèëè âåðõîì íà ëîøàäè. ""Äà, ýòî óíèçèòåëüíî, íî òû âñ¸ åù¸ æèâ[Root.GetEndA]"", — ðàçî÷àðîâàííî ïðîâîð÷àë îäèí èç íèõ.";;x
EVTOPTARIP.15001;The dress suits [From.GetHerHim].;;;;;;;;;;;À [From.GetHerHim] èä¸ò ýòîò íàðÿä.;;x
EVTOPTARIP.15002;I do not deserve this humiliation!;;;;;;;;;;;Ýòî íåñïðàâåäëèâî!;;x
EVTOPTARIP.15003;Let them stare! Serves [From.GetHerHim] right.;;;;;;;;;;;Ïóñòü ñìîòðÿò! Ýòî ïîñëóæèò [From.GetHerHim] óðîêîì.;;x
EVTOPTARIP.15004;This is so embarrassing!;;;;;;;;;;;Ñòûä-òî êàêîé...;;x
EVTOPTARIP.15005;I did it for [From.GetHerHis] own good.;;;;;;;;;;;Ýòî âñ¸ äëÿ [From.GetHersHis] æå áëàãà.;;x
EVTOPTARIP.15006;My name is [Root.GetTitledFirstName]! This is unfair!;;;;;;;;;;;Ìî¸ èìÿ - [Root.GetFirstName], òû, [From.GetBitchBastard]!;;x
EVTOPTARIP.15007;That's entertainment!;;;;;;;;;;;Ê òîìó æå ýòî âåñåëî!;;x
EVTOPTARIP.15008;How will I ever face anyone again?;;;;;;;;;;;Êàêàÿ æå ýòî æèçíü ïîñëå òàêîãî?;;x
EVTDSC_RIP_20001;Why complicate things when there is nothing like the good old rack? Judging by [From.GetTitledFirstName]'s screams it seems like [From.GetSheHe] learnt [From.GetHerHis] lesson...;;;;;;;;;;;Ê ÷åìó âñå ýòè èçîùð¸ííîñòè, êîãäà åñòü ñòàðàÿ äîáðàÿ äûáà? [From.GetTitledFirstName] òàê äîëãî è íåèñòîâî âîïèò, ïîõîæå, [From.GetSheHe] óñâîèë[From.GetEndA] óðîê...;;x
