#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
78001.d2;My liege, you sent me out to spread word of your good nature and wise rule, yet I can find no ruler who does not already hold you in the highest regard. I beg you for a new assignment.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledFirstName];;;;;;;;;;;Ì[Root.GetOyaOy] [Root.GetLordLady], Âû âåëåëè ìíå íåñòè ñëîâî î Âàøåì äîáðîì õàðàêòåðå è ìóäðîì ïðàâëåíèè, íî ìíå òàê è íå óäàëîñü íàéòè íè îäíîãî ïðàâèòåëÿ, êîòîðûé áû ýòîãî íå çíàë. Ïðîøó Âàñ, äàéòå ìíå äðóãîå çàäàíèå.\nÂàø âåðíûé [Root.GetChancellorName],\n [Root.job_chancellor.GetTitledFirstName];;x
78001.d;My [Root.GetChancellorName], [Root.job_chancellor.GetTitledFirstNameNoRegnal], has improved relations with §Y[statecraft_target.GetBestName]§!.;;;;;;;;;;;Ìîé [Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstNameNoRegnal] äîáè[Root.job_chancellor.GetLasLsya] óñïåõîâ â ðàçâèòèè äèïëîìàòè÷åñêèõ îòíîøåíèé, §Y[statecraft_target.GetBestName]§W òåïåðü óâàæàåò ìåíÿ ãîðàçäî áîëüøå.;;x
MNM.70005.d;I have worked improving the demesne of my liege, and have recently been met with success in my efforts. [Root.Liege.GetSheHe] will surely be pleased!;;;;;;;;;;;ß ðàáîòàë[Root.GetEndA] íàä ðàçâèòèåì ýêîíîìèêè â ëè÷íûõ çåìëÿõ ìî[Root.Liege.GetHerHis] [Root.Liege.GetLordLadyGEN] è äîáè[Root.GetLasLsya] íåìàëûõ óñïåõîâ. Äóìàþ, [Root.Liege.GetSheHe] áóäåò äîâîë[Root.Liege.GetSoftNaEn]!;;x
MNM.70005.t;Demesne Improved;;;;;;;;;;;Bëàäåíèÿ óëó÷øèëèñü;;x
MNM.70006.d;My [Root.GetMyTreasurerName], [Root.job_treasurer.GetTitledFirstNameNoRegnal], has been hard at work in §Y[admin_bonus_province.GetName]§!, increasing infrastructure and motivating the local people to work ever harder!;;;;;;;;;;;Ìîé [Root.GetMyTreasurerName] [Root.job_treasurer.GetTitledFirstNameNoRegnal] õîðîøî ïîðàáîòàë[Root.job_treasurer.GetEndA] íàä ðàçâèòèåì èíôðàñòðóêòóðû îêðóãà §Y[admin_bonus_province.GetName]§W;;x
MNM.70010.d;After weeks of drilling I believe that one of the commanders my liege ordered me to train, [commander_improved.GetFirstName], has improved significantly!;;;;;;;;;;;Ñïóñòÿ íåäåëè òðåíèðîâîê, ìíå êàæåòñÿ, íåêîòîðûå èç êîìàíäèðîâ, êîòîðûõ ì[Root.Liege.GetOyaOy] [Root.Liege.GetLordLady] ïîðó÷èë[Root.GetEndA] ìíå îáó÷àòü, äîáèëèñü íåìàëûõ óñïåõîâ, îñîáåííî [commander_improved.GetFirstName], [commander_improved.GetSheHe] ïîêàçàë[commander_improved.GetEndA] ñåáÿ ëó÷øå îñòàëüíûõ!;;x
MNM.70010.t;Commander Improved;;;;;;;;;;;Ïîëêîâîäåö äåëàåò óñïåõè;;x
MNM.70011.d;My [From.GetJobTitle] tells me that one of my commanders, [commander_improved.GetFirstName], has improved significantly!;;;;;;;;;;;Ìîé [From.GetJobTitle] ñîîáùàåò, ÷òî âî âðåìÿ òðåíèðîâêè ìîèõ êîìàíäèðîâ [commander_improved.GetFirstName] ïîêàçàë[commander_improved.GetEndA] ñåáÿ ëó÷øå îñòàëüíûõ, [commander_improved.GetSheHe] çíà÷èòåëüíî óëó÷øèë[commander_improved.GetEndA] ñâîè íàâûêè!;;x
MNM.70012.d;I have found a man of great talent that would be willing to serve my liege as a commander, I should send word at once.;;;;;;;;;;;ß íàø[Root.GetLaYol] òàëàíòëèâîãî ÷åëîâåêà, êîòîðûé æåëàåò ñëóæèòü ìî[Root.Liege.GetHerHim] [Root.Liege.GetLordLadyDAT] âåðîé è ïðàâäîé. Äóìàþ, èç íåãî áû ïîëó÷èëñÿ îòëè÷íûé ïîëêîâîäåö.;;x
MNM.70012.t;Commander Found;;;;;;;;;;;Hàéäåí ïîëêîâîäåö;;x
MNM.70013.d;My [From.GetJobTitle] has discovered a [found_commander.GetManWoman] of great military talent, called [found_commander.GetFirstName], who is willing to serve in my ranks!;;;;;;;;;;;Ìîé [From.GetJobTitle] íàø[From.GetLaYol] [found_commander.GetAgedPersonACC] ñ õîðîøèìè âîåííûìè íàâûêàìè, [found_commander.GetHersHis] çîâóò [found_commander.GetFirstName], è [found_commander.GetSheHe] õî÷åò áûòü ìîèì ïîëêîâîäöåì!;;x
MNM.70013.o;I think I know who to replace...;;;;;;;;;;;Êàæåòñÿ, ÿ çíàþ, ÷ü¸ ìåñòî [found_commander.GetSheHe] çàéì¸ò...;;x
MNM.70015.d;While drilling the commanders, [commander_character.GetFirstName] starts mocking your technique. Before you know it, the situation escalates into a full-fledged brawl!;;;;;;;;;;;Âî âðåìÿ òðåíèðîâêè âîåííûõ, [commander_character.GetFirstName] ñòàë[commander_character.GetEndA] îòêðûòî âûñìåèâàòü Âàøó òàêòèêó. Ïðåæäå, ÷åì Âû óñïåëè ñðåàãèðîâàòü äîëæíûì îáðàçîì çàâÿçàëàñü äðàêà!;;x
MNM.70015.t;Commander Brawl;;;;;;;;;;;Äðàêà êîìàíäèðîâ;;x
MNM.70016.d;Instead of drilling the commanders, [From.GetJobTitle] [From.GetFirstName] has been fighting them! There is truly a lack of discipline in your ranks...;;;;;;;;;;;Âìåñòî òîãî, ÷òîáû òðåíèðîâàòü ìîèõ êîìàíäèðîâ, [From.GetJobTitle] [From.GetFirstName] íå ïðèäóìàë[From.GetEndA] íè÷åãî óìíåå, ÷åì ïîäðàòüñÿ ñ íèìè!;;x
MNM.70020.d;I have successfully managed to sabotage the province of [Root.Location.GetName]. I should inform my liege!;;;;;;;;;;;Ìíå óäàëîñü ñàáîòèðîâàòü èíôðàñòðóêòóðó îêðóãà [Root.Location.GetName]. Íàäî ñîîáùèòü ñþçåðåíó!;;x
MNM.70020.t;Sabotaged Province;;;;;;;;;;;Càáîòàæ;;x
