#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC63000;It rankles me that my liege, [This.Liege.GetTitledFirstName], has vassals who should rightfully be mine.;;;;;;;;;;;Ìåíÿ ðàçäðàæàåò, ÷òî ìîé ñþçåðåí, [This.Liege.GetTitledFirstName], èìååò âàññàëîâ, êîòîðûå ïî ïðàâó äîëæíû ïðèíàäëåæàòü ìíå.;;x
EVTDESC63001;My vassal, [From.GetTitledName], has requested that a lower rank vassal should serve [From.GetObjectPronoun] rather than me directly...;;;;;;;;;;;Âàññàë [From.GetTitledName] îáðàùàåòñÿ êî ìíå ñ ïðîñüáîé î òîì, ÷òîáû âàññàë íèçøåãî ðàíãà ñëóæèë [From.GetObjectPronoun], à íå íåïîñðåäñòâåííî ìíå...;;x
EVTDESC63002;My Liege, [From.GetTitledName], has decreed that henceforth I am a vassal of [FromFrom.GetTitledName]'s.;;;;;;;;;;;Ìîé ñþçåðåí, [From.GetTitledName], ïîñòàíîâëÿåò, ÷òî îòíûíå [FromFrom.GetTitledName] - ìîé ñþçåðåí.;;x
EVTDESC63003;My Liege, [From.GetTitledName], has denied my request to make my rightful vassal mine.;;;;;;;;;;;Ìîé ñþçåðåí, [From.GetTitledName], îòâåðãàåò ìîþ ïðîñüáó ñäåëàòü âåðíîãî ìíå ÷åëîâåêà ìîèì çàêîííûì âàññàëîì.;;x
EVTDESC63004;[From.GetTitledName] has not answered my request to transfer a vassal. This bodes ill.;;;;;;;;;;;[From.GetTitledName] èãíîðèðóåò ìîþ ïðîñüáó î ïåðåäà÷å âàññàëà. Ýòî íå ñóëèò íè÷åãî õîðîøåãî.;;x
EVTDESC63005;My dear friend and vassal!\n\nYou are a bedrock of loyalty, the cornerstone of the realm! Truly, there is support for your claim in [From.Religion.GetScriptureName]. I know that [From.Religion.GetRandomGodName] will reward you in time!\n\n[From.GetTitledName];;;;;;;;;;;Ìîé äîðîãîé äðóã è âàññàë, Âû – ïðèìåð âåðíîñòè, êðàåóãîëüíûé êàìåíü íàøåãî ãîñóäàðñòâà! Âîèñòèíó, [From.Religion.GetScriptureName] ïîäòâåðæäàåò ýòî, è ÿ ïîääåðæèâàþ Âàøè ïðèòÿçàíèÿ. ß âåðþ ÷òî [From.Religion.GetRandomGodName] âîçäàñò Âàì ñïîëíà!\n\n [From.GetTitledName];;x
EVTDESC63006;My Liege, [Root.Liege.GetTitledName], has justly agreed to my request. [From.GetTitledName] is now my vassal!;;;;;;;;;;;Ìîé ñþçåðåí [Root.Liege.GetTitledName] ñïðàâåäëèâî âûðàæàåò ñîãëàñèå ñ ìîåé ïðîñüáîé. [From.GetTitledName] - òåïåðü ìîé âàññàë!;;x
EVTDESC63006B;My liege has agreed to transfer a vassal to me, but I will have to repay [Root.Liege.GetHerHim] later.;;;;;;;;;;;Ñþçåðåí äà¸ò ñâî¸ ñîãëàñèå ïåðåäàòü ìíå âàññàëà, íî ÿ áóäó ïåðåä í[Root.Liege.GetEyIm] â äîëãó.;;x
EVTDESC63007;It seems [FromFrom.GetTitledName] wanted to become my new liege, but [Root.Liege.GetTitledName] has chosen to give me a claim on [FromFrom.GetTitledFirstName] instead!;;;;;;;;;;;Êàæåòñÿ [FromFrom.GetTitledName] õî÷åò ñòàòü ìîèì íîâûì ñþçåðåíîì, íî [Root.Liege.GetTitledName] âìåñòî ýòîãî ðåøàåò ñàìîëè÷íî çàÿâèòü î ïðåòåíçèÿõ íà [FromFrom.GetHersHis] òèòóë!;;x
EVTDESC63010;I have hatched a brilliant scheme to get rid of my hated rival!;;;;;;;;;;;ß ïðèäóìàë ãåíèàëüíóþ ñõåìó, ÷òîáû èçáàâèòüñÿ îò ìîåãî íåíàâèñòíîãî ñîïåðíèêà!;;x
