#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_chancellor.txt
#########################
#
#	Chancellor events
#
#########################
# Attempt to improve relations with lord
evt_chancellor_001_title;Improved Relations with Lord;;;;;;;;;;;Óëó÷øåíèå îòíîøåíèé;;x
evt_chancellor_001_desc_a;During my stay at the court of a noble in [Root.Location.GetName], I have done my utmost to present my liege in a more favourable light and have him recognized as the benevolent and peaceful ruler [Root.Liege.GetSheHe] is.;;;;;;;;;;;Âî âðåìÿ ìîåãî ïðåáûâàíèÿ ïðè áëàãîðîäíîì äâîðå â îêðóãå [Root.Location.GetName], ÿ ñäåëàë[Root.GetEndA] âñ¸ âîçìîæíîå, ÷òîáû ïðåäñòàâèòü ìî[Root.Liege.GetYuEgo] [Root.Liege.GetLordLadyACC] â íàèáîëåå âûãîäíîì ñâåòå.;;x
evt_chancellor_001_option_a;It seems as if I have succeeded!;;;;;;;;;;;È, êàæåòñÿ, ìíå óäàëîñü!;;x
# Inform the noble
evt_chancellor_002_desc_a;During [From.GetHerHis] visit to my court, the [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has really convinced me of what a benevolent and peaceful ruler [From.GetHerHis] liege [From.Host.GetTitledName] is.;;;;;;;;;;;Âî âðåìÿ ïîñåùåíèÿ ìîåãî äâîðà [From.GetTitledFirstName], [From.GetJobTitle] [From.Host.PrimaryTitle.GetAdjective]ñêîãî ãîñóäàðñòâà, óáåäèë[From.GetEndA] ìåíÿ, ÷òî [From.GetHersHis] [From.Host.GetLordLady] [From.Host.GetTitledFirstName] äîáðîæåëàòåë[From.Host.GetSoftNaEn] è ìèðîëþáèâ[From.Host.GetEndA].;;x
evt_chancellor_002_option_a;I feel a new appreciation for [From.Host.GetTitledName]!;;;;;;;;;;;Äèïëîìàòèÿ òâîðèò ÷óäåñà!;;x
# The liege is informed of the success
evt_chancellor_003_desc_a;My liege, my mission to [FromFrom.Location.GetName] has so far been a success! During my visit to the court of [From.GetBestName], I seem to have managed to make [From.GetHerHim] understand what a benevolent and peaceful ruler you really are and [From.GetSheHe] sends [From.GetHerHis] regards.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ìîÿ ìèññèÿ â îêðóãå [FromFrom.Location.GetName] ïðîõîäèò óñïåøíî! Âî âðåìÿ ïîñåùåíèÿ ìíîé äâîðà, [From.GetBestName], êàæåòñÿ, ïîíÿë, êàêîé Âû äîáðîæåëàòåëüíûé è ìèðíûé ïðàâèòåëü íà ñàìîì äåëå. [From.GetSheHeCap] øë¸ò Âàì ñâîé ïîêëîí.\nÂàø [Root.GetChancellorName],\n [Root.job_chancellor.GetTitledFirstName];;x
# Unused
EVTTOOLTIP20101;Send a letter to inform my liege;;;;;;;;;;;Îòïðàâèòü ïèñüìî, ÷òîáû ïðîèíôîðìèðîâàòü ìîåãî ñþçåðåíà.;;x
# Attempt to improve relations is sabotaged
evt_chancellor_101_title;Sabotaged Relations with Lord;;;;;;;;;;;Ïðîâàë óëó÷øåíèÿ îòíîøåíèé;;x
