#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_61006;By Any Other Name;;;;;;;;;;;Äðóãîå èìÿ;;x
evt_TITLE_LT_61008;Time to Go;;;;;;;;;;;Ïîðà â ïóòü;;x
EVTDESC1_LT_61006;"My [Root.GetLordLady]! [courtier.GetTitledFirstName] approaches me with excitement in [courtier.GetHerHis] eyes. ""Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?""";;;;;;;;;;;"Ì[Root.GetOyaOy] [Root.GetLordLady]! — âîñêëèêíóë[courtier.GetEndA] [courtier.GetTitledFirstName], îñòàíîâèâ ìåíÿ íà ïîëïóòè â ì[Root.GetMyChamberACC]. [courtier.GetSheHeCap] âûãëÿäåë[courtier.GetEndA] âçâîëíîâàíí[courtier.GetOyYm] è, íå äîæèäàÿñü ìîåé ðåàêöèè, ïðîäîëæèë[courtier.GetEndA]: ""Íå ìîãëè áû Âû óäîñòîèòü ìåíÿ ÷åñòè, ïîæàëîâàâ ìíå îñîáîå èìÿ?""";;x
EVTDESC2_LT_61006;"My [Root.GetLordLady]! [courtier.GetTitledFirstName] approaches me with an armful of scrolls. ""Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?""";;;;;;;;;;;"Ì[Root.GetOyaOy] [Root.GetLordLady]! — âîñêëèêíóë[courtier.GetEndA] [courtier.GetTitledFirstName], íàòêíóâøèñü íà ìåíÿ ñ âîðîõîì ñâèòêîâ. [courtier.GetSheHeCap] âûãëÿäåë[courtier.GetEndA] âçâîëíîâàíí[courtier.GetOyYm] è, íå äîæèäàÿñü ìîåé ðåàêöèè, ïðîäîëæèë[courtier.GetEndA]: ""Íå ìîãëè áû Âû óäîñòîèòü ìåíÿ ÷åñòè, ïîæàëîâàâ ìíå îñîáîå èìÿ?""";;x
EVTDESC3_LT_61006;"My [Root.GetLordLady]! [courtier.GetTitledFirstName] approaches me with clothes stained with dirt and fire in [courtier.GetHerHis] eyes. ""Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?""";;;;;;;;;;;"Ì[Root.GetOyaOy] [Root.GetLordLady]! — âîñêëèêíóë[courtier.GetEndA] [courtier.GetTitledFirstName], îñòàíîâèâ ìåíÿ íà ïîëïóòè â ì[Root.GetMyChamberACC]. [courtier.GetHersHisCap] îäåæäà áûëà ïûëüíîé, à âçãëÿä ïîëîí ýíòóçèàçìà. Íå äîæèäàÿñü ìîåé ðåàêöèè, [courtier.GetSheHe] ïðîäîëæèë[courtier.GetEndA]: ""Íå ìîãëè áû Âû óäîñòîèòü ìåíÿ ÷åñòè, ïîæàëîâàâ ìíå îñîáîå èìÿ?""";;x
EVTDESC4_LT_61006;"My [Root.GetLordLady]! [courtier.GetTitledFirstName] emerges from a gathering of courtiers and makes [courtier.GetHerHis] way over to me. ""Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?""";;;;;;;;;;;"Ì[Root.GetOyaOy] [Root.GetLordLady]! — âîñêëèêíóë[courtier.GetEndA] [courtier.GetTitledFirstName], âûñêî÷èâ ïðÿìî ìíå íàâñòðå÷ó èç òîïëû ïðèäâîðíûõ è ñëóã. ""Íå ìîãëè áû Âû óäîñòîèòü ìåíÿ ÷åñòè, ïîæàëîâàâ ìíå îñîáîå èìÿ?"" — íå äîæèäàÿñü ìîåé ðåàêöèè ïðîäîëæèë[courtier.GetEndA] [courtier.GetSheHe].";;x
EVTDESC5_LT_61006;"My [Root.GetLordLady]! [courtier.GetTitledFirstName] approaches me with a large ledger clutched in [courtier.GetHerHis] ink-stained hands. ""Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?""";;;;;;;;;;;"Ì[Root.GetOyaOy] [Root.GetLordLady]! — âîñêëèêíóë[courtier.GetEndA] [courtier.GetTitledFirstName] ñ áîëüøèì ãðîññáóõîì â ðóêàõ, îñòàíîâèâ ìåíÿ íà ïîëïóòè â ì[Root.GetMyChamberACC]. ""Íå ìîãëè áû Âû óäîñòîèòü ìåíÿ ÷åñòè, ïîæàëîâàâ ìíå îñîáîå èìÿ?"" — íå äîæèäàÿñü ìîåé ðåàêöèè ïðîäîëæèë[courtier.GetEndA] [courtier.GetSheHe].";;x
EVTDESC6_LT_61006;"My [Root.GetLordLady]! [courtier.GetTitledFirstName] steps out of the shadows beside me with a sharp smile. ""Would you do me the honor of bestowing a nickname upon me, my [Root.GetLordLady]?""";;;;;;;;;;;"Ì[Root.GetOyaOy] [Root.GetLordLady]! — âîñêëèêíóë[courtier.GetEndA] [courtier.GetTitledFirstName], ñ øèðîêîé óëûáêîé âûõîäÿ èç ò¸ìíîãî óãëà. Íå äîæèäàÿñü ìîåé ðåàêöèè, [courtier.GetSheHe] ïðîäîëæèë[courtier.GetEndA]: ""Íå ìîãëè áû Âû óäîñòîèòü ìåíÿ ÷åñòè, ïîæàëîâàâ ìíå îñîáîå èìÿ?""";;x
EVTDESC_LT_61008;"A group of courtiers approach me, most of whom I barely even recognize.\n\n""We are taking our leave, my [Root.GetLordLady]. Do we go with your blessing?""";;;;;;;;;;;Ãðóïïà ïðèäâîðíûõ ïîïðîñèëà ìåíÿ îá àóäèåíöèè. Ìíîãèõ èç íèõ ÿ ñ òðóäîì óçíàþ.\n — [Root.PrimaryTitle.GetFOA], ìû âûíóæäåíû ïîêèíóòü Âàñ. Âû âåäü íå áóäåòå îòðèöàòü, ÷òî â Âàøåì [Root.Capital.GetCapitalBuildingPREP] äëÿ íàñ áîëüøå íåò ìåñòà? — ñïðîñèë îäèí èç íèõ.;;x
EVTDESC_LT_10103_A;"After a long council meeting, my head is filled with the latest expense reports. I let out a sigh, a small feeling of defeat building in me, but [upbeat_courtier.GetFirstName] interrupts my thoughts: ""I don't know if it matters to you, my [Root.GetLordLady], but many are grateful for the way you are handling the surplus of men and women here in the [Root.GetCapitalHolding].""";;;;;;;;;;;Ïîñëå íåñêîëüêî çàòÿíóâøåãîñÿ ñîáðàíèÿ Ñîâåòà, ìîÿ ãîëîâà áûëà çàáèòà ìûñëÿìè î âîçðîñøèõ ôèíàíñîâûõ ðàñõîäàõ. ß òÿæåëî âçäîõíóë[Root.GetEndA] è çàäóìà[Root.GetLasLsya] î íàñóùíûõ ïðîáëåìàõ, êàê âäðóã [upbeat_courtier.GetFirstName] ïðåðâàë[upbeat_courtier.GetEndA] ìîè ðàññóæäåíèÿ.\n— Íå çíàþ, èíòåðåñíî ëè Âàì ýòî, ì[Root.GetOyaOy] [Root.GetLordLady], íî ìíîãèå áëàãîäàðíû Âàì çà âîçìîæíîñòü ñîõðàíèòü ñâî¸ ïîëîæåíèå ïðè äâîðå, íåñìîòðÿ íà íåêîòîðûå òðóäíîñòè, — ñêàçàë[upbeat_courtier.GetEndA] [upbeat_courtier.GetSheHe].;;x
EVTDESC_LT_10103_B;"At the end of supper, [upbeat_courtier.GetTitledFirstName] calls me over to [upbeat_courtier.GetHerHis] table, pointing at a tall glass of [Root.GetAlcohol]. ""There are many of us who want to personally thank you for your hospitality, my [Root.GetLordLady]. I know space is hard to come by inside the [Root.GetCapitalHolding]."" The [upbeat_courtier.GetManWoman] presses my hand and smiles in gratitude.";;;;;;;;;;;"Ïî îêîí÷àíèè óæèíà [upbeat_courtier.GetTitledFirstName] ïîäíÿë[upbeat_courtier.GetEndA] áîêàë è ñ òîðæåñòâåííûì âèäîì çàÿâèë[upbeat_courtier.GetEndA]:\n""Ìíîãèå èç íàñ õîòåëè áû ëè÷íî ïîáëàãîäàðèòü Âàñ çà ãîñïåïðèèìñòâî, [Root.PrimaryTitle.GetFOA]. Ìåñòà çäåñü íå òàê ìíîãî, à ñîäåðæàíèå äâîðà - ýòî âñåãäà äîïîëíèòåëüíûå ðàñõîäû.""";;x
