#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
261_OPTA;I knew something good was going to happen!;;;;;;;;;;;Òàê è çíàë[Root.GetEndA], ýòî äîëæíî áûëî ñëó÷èòüñÿ!;;x
261_OPTB;I suppose I could have misunderstood the vision...;;;;;;;;;;;Íàâåðíîå, ÿ íåïðàâèëüíî åãî èíòåðïðåòèðîâàë...;;x
EVTDESC_RoI.249;As things have settled down a bit after you inherited your [GetFromRelation] [From.GetTitledFirstName]'s realm, you decide to enter the treasury and see what [cursed_diamond_parent.GetSheHe] has left for you. Sadly, you find that [cursed_diamond_parent.GetHerHis] famous diamond is gone! Someone must have stolen it while you were preoccupied with the transition of power.;;;;;;;;;;;Ïîñëå òîãî, êàê áûëè óëàæåíû âñå äåëà ñ ïåðåäà÷åé çåìåëü è èìóùåñòâà, êîòîðûå Âàø[cursed_diamond_parent.GetEndA] [cursed_diamond_parent.GetRootRelation] [cursed_diamond_parent.GetTitledFirstName] îñòàâèë[cursed_diamond_parent.GetEndA] Âàì â íàñëåäñòâî, Âû ðåøèëè îñìîòðåòü ñîêðîâèùíèöó è âûÿñíèòü, ÷òî [cursed_diamond_parent.GetSheHe] Âàì îñòàâèë[cursed_diamond_parent.GetEndA]. Ê ñîæàëååíèþ, Âû îáíàðóæèëè, ÷òî [cursed_diamond_parent.GetHersHis] çíàìåíèòûé áðèëëèàíò ïðîïàë! Äîëæíî áûòü, êòî-òî óêðàë åãî, ïîêà Âû áûëè çàíÿòû ïåðåäà÷åé âëàñòè.;;x
EVTDESC_WOL_2080_CULTIST;I have uncovered proof that [FromFromFrom.GetTitledName] is a member of a subversive cult called [FromFromFrom.Society.GetName]... How should I use this explosive information?;;;;;;;;;;;Ìíå óäàëîñü äîáûòü äîêàçàòåëüñòâà òîãî, ÷òî [FromFromFrom.GetTitledFirstName] ñîñòîèò â êóëüòå [FromFromFrom.GetSocietyNameGEN]... Êàê ìíå ïîñòóïèòü ñ ýòèìè ñâåäåíèÿìè?;;x
EVTDESC_WOL_2080_DW;I can hardly believe it, but I have uncovered proof that [FromFromFrom.GetTitledName] consorts with demons and secretly worships [FromFromFrom.Religion.GetRandomEvilGodName]! [FromFromFrom.GetSubjectPronounCap] is a member of a cult called [FromFromFrom.Society.GetName]... How should I use this explosive information?;;;;;;;;;;;Ïîâåðèòü íå ìîãó! Ìíå óäàëîñü äîáûòü äîêàçàòåëüñòâà òîãî, ÷òî [FromFromFrom.GetTitledFirstName] òàéíî ïîêëîíÿåòñÿ [FromFromFrom.GetDWDevilDAT]! [FromFromFrom.GetSubjectPronounCap] ñîñòîèò â êóëüòå [FromFromFrom.GetSocietyNameGEN]... ×òî ìíå òåïåðü äåëàòü ñ ýòèìè ñâåäåíèÿìè?;;x
EVTDESC_WOL_2081_CULTIST;[From.GetTitledName] claims to have proof that I am a member of [Root.Society.GetName] – just cause for arrest and imprisonment!;;;;;;;;;;;[From.GetTitledFirstName] óòâåðæäàåò, ÷òî íàø[From.GetLaYol] äîêàçàòåëüñòâà ìîåãî ÷ëåíñòâà â îáùåñòâå [Root.GetSocietyNameGEN] - ýòî ïîâîä äëÿ àðåñòà!;;x
EVTDESC_WOL_2081_DW;[From.GetTitledName] has found out that I am a member of [Root.Society.GetName]! This is obviously a disaster and a just cause for imprisonment, title revokation... or execution.;;;;;;;;;;;[From.GetTitledFirstName] óçíàë[From.GetEndA], ÷òî ÿ ñîñòîþ â îáùåñòâå [Root.GetSocietyNameGEN]! Ýòî êàòàñòðîôà, ìåíÿ àðåñòóþò, ëèøàò òèòóëîâ, à ìîæåò äàæå... êàçíÿò!;;x
EVTDESC_WOL_2082_CULTIST;[From.GetTitledName] has provided me with undeniable proof that [target_spy_on.GetTitledName] is a member of [target_spy_on.Society.GetName]! How should I use this information?;;;;;;;;;;;[From.GetTitledFirstName] ïðåäîñòàâèë[From.GetEndA] ìíå íåîïðîâåðæèìûå äîêàçàòåëüñòâà òîãî, ÷òî [target_spy_on.GetTitledFirstName] ñîñòîèò â îáùåñòâå [target_spy_on.GetSocietyNameGEN]! ×òî ìíå äåëàòü ñ ýòèìè ñâåäåíèÿìè?;;x
EVTDESC_WOL_2082_DW;[From.GetTitledName] has provided me with undeniable proof that [target_spy_on.GetTitledName] is a witch and a demon worshipper! How should I use this information?;;;;;;;;;;;[From.GetTitledFirstName] ïðåäîñòàâèë[From.GetEndA] ìíå íåîïðîâåðæèìûå äîêàçàòåëüñòâà òîãî, ÷òî [target_spy_on.GetTitledFirstName] ïîêëîíÿåòñÿ [target_spy_on.GetDWDevilDAT]! ×òî æå ìíå äåëàòü ñ ýòèìè ñâåäåíèÿìè?;;x
EVTDESC_WOL_2086_CULTIST;[From.GetTitledName] says that [From.GetSubjectPronoun] knows I'm a member of [Root.Society.GetName] and claims to have witnesses that can testify against me! However, [From.GetSubjectPronoun] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;;;[From.GetTitledFirstName] çàÿâèë[From.GetEndA], ÷òî çíàåò î ìî¸ì ÷ëåíñòâå â îáùåñòâå [Root.GetSocietyNameGEN], ãîâîðèò, ó í[From.GetHersHis] åñòü ñâèäåòåëè, êîòîðûå äàäóò ïîêàçàíèÿ ïðîòèâ ìåíÿ! Îäíàêî [From.GetSubjectPronoun] ïîîáåùàë[From.GetEndA] õðàíèòü ýòî â ñåêðåòå, åñëè ÿ áóäó äåðæàòüñÿ ïîäàëüøå îò ïîëèòèêè.;;x
EVTDESC_WOL_2086_DW;[From.GetTitledName] says that [From.GetSubjectPronoun] knows I'm a witch and a demon worshipper and claims to have witnesses that can testify against me! However, [From.GetSubjectPronoun] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...;;;;;;;;;;;[From.GetTitledFirstName] çàÿâèë[From.GetEndA], ÷òî çíàåò î ìîåé ñâÿçè ñ äåìîíàìè è óòâåðæäàåò, ÷òî ó í[From.GetHersHis] åñòü ñâèäåòåëè, êîòîðûå äàäóò ïîêàçàíèÿ ïðîòèâ ìåíÿ! Îäíàêî [From.GetSubjectPronoun] ïîîáåùàë[From.GetEndA] õðàíèòü ýòî â ñåêðåòå, åñëè ÿ áóäó äåðæàòüñÿ ïîäàëüøå îò ïîëèòèêè.;;x
