#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC24500;A Loving Marriage ends with my death.;;;;;;;;;;;Ýòîò ïðåêðàñíûé áðàê çàêîí÷èëñÿ ñ ìîåé ñìåðòüþ.;;x
EVTDESC24501;I keep thinking about [From.GetTitledFirstName]. She was the best of wives, and without her, I do so struggle to be a [Root.GetTitle]. Oh, how I miss her....;;;;;;;;;;;[From.GetTitledFirstName] äî ñèõ ïîð æèâ¸ò â ìî¸ì ñåðäöå. [From.GetSheHeCap] áûë[From.GetEndA] ñàì[From.GetOyYm] ëó÷ø[From.GetEyIm] [From.GetHusbandWifeINS], è áåç í[From.GetHersHis] ìíå ïðèõîäèòñÿ èçî âñåõ ñèë ñòàðàòüñÿ, ÷òîáû ïîêàçàòü, ÷òî ÿ äîñòîéí[Root.GetAyaYy] [Root.GetTitle]. Îõ, êàê ìíå [From.GetHersHis] íå õâàòàåò...;;x
EVTDESC24502;Who will my father trust in now?;;;;;;;;;;;Êîìó áóäåò äîâåðÿòü ìîé îòåö òåïåðü?;;x
EVTDESC24503;The rest of my sons are nowhere near the abilities of [From.GetTitledFirstName]. He knew how to handle a sword, and would have been a great [Root.GetTitle] after my death.;;;;;;;;;;;[From.GetTitledFirstName] ìíîãîãî äîñòèã. Îñòàëüíûì ìîèì ñûíîâüÿì åù¸ äàëåêî äî åãî ñïîñîáíîñòåé. Ëèøü îí îäèí óìååò òàê õîðîøî óïðàâëÿòüñÿ ñ ìå÷îì. Èç íåãî âûéäåò îòëè÷íûé [Root.GetTitle], êîãäà ÿ óìðó.;;x
EVTDESC24504;My wife is pregnant, but she better give birth to a decent son this time. Else she may 'accidentally' fall down from a tower.;;;;;;;;;;;"Ìîÿ æåíà áåðåìåííà, è â ýòîò ðàç ëó÷øå åé ðîäèòü ìíå ïðèëè÷íîãî ñûíà. Èíà÷å åù¸ îíà ìîæåò ""ñëó÷àéíî"" âûïàñòü èç áàøíè.";;x
EVTDESC24505;I hope the circumstances of my untimely death makes someone suspicious. I did NOT die a natural death...;;;;;;;;;;;ß íàäåþñü, ÷òî îáñòîÿòåëüñòâà ìîåé áåçâðåìåííîé êîí÷èíû âîçáóäÿò õîòü ó êîãî-òî ïîäîçðåíèÿ. ß óìåð[Root.GetNoneE] ÍÅ ïî åñòåñòâåííûì ïðè÷èíàì…;;x
EVTDESC24506;[From.GetTitledFirstName] did not die a natural death, of that I am certain! I suspect one of the courtiers to be behind [From.GetTitledFirstName]'s unfortunate demise.;;;;;;;;;;;[From.GetTitledFirstName] - æåðòâà óáèéñòâà, ýòî íå íåñ÷àñòíûé ñëó÷àé, çóá äàþ! ß ïîäîçðåâàþ, ÷òî êîå-êòî èç ïðèäâîðíûõ ñòîÿë çà [From.GetHersHis] ñïèíîé ïåðåä ïàäåíèåì.;;x
EVTDESC24507;[From.GetTitledFirstName] is certain someone murdered one of [From.GetHerHis] dear friends, and wants me to imprison the courtier who [From.GetSheHe] thinks is the murderer.;;;;;;;;;;;[From.GetTitledFirstName] íå ñîìíåâàåòñÿ, ÷òî êòî-òî óáèë îäíîãî èç [From.GetHersHis] áëèçêèõ äðóçåé, è õî÷åò, ÷òîáû ìíîþ áûë ïîñàæåí â òþðüìó ïðèäâîðíûé, êîòîðîãî [From.GetSheHe] ñ÷èòàåò óáèéöåé.;;x
EVTDESC24510;I died while I was serving [Root.Liege.GetTitledFirstName], now I hope [Root.Liege.GetSheHe] will honor my last wish and bury me properly...;;;;;;;;;;;[Root.Liege.GetTitledFirstName], ñìåðòü íàñòèãëà ìåíÿ âî ñëóæåíèè Âàøåé Ìèëîñòè. È òåïåðü ÿ íàäåþñü, ÷òî Âû âûïîëíèòå ìî¸ ïîñëåäíåå æåëàíèå, ïîõîðîíèâ ìåíÿ, êàê ïîäîáàåò.;;x
EVTOPTA24500;For you, everything!;;;;;;;;;;;Âñ¸ ðàäè òåáÿ!;;x
