#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC37000;I should ask [Root.Liege.GetTitledFirstName] to grant me a title.;;;;;;;;;;;Íóæíî ñïðîñèòü, äàðóåò ëè [Root.Liege.GetTitledFirstName] ìíå òèòóë.;;x
EVTDESC37001;Today, my [GetFromRelation] [From.GetFirstName] asked me for a fief of [From.GetPossPronoun] own to govern...;;;;;;;;;;;Ñåãîäíÿ ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] ïîïðîñèë[From.GetEndA] ó ìåíÿ âëàäåíèå äëÿ ñàìîñòîÿòåëüíî óïðàâëåíèÿ...;;x
EVTDESC37002;[From.GetTitledFirstName] promised me a title!;;;;;;;;;;;[From.GetTitledFirstName] îáåùàåò ìíå òèòóë!;;x
EVTDESC37003;[From.GetTitledFirstName] refused to grant me a title!;;;;;;;;;;;[From.GetTitledFirstName] îòêàçûâàåòñÿ äàðîâàòü ìíå òèòóë!;;x
EVTDESC37004;'You are not ready yet...' was [From.GetTitledFirstName] excuse to refuse grant me a title!;;;;;;;;;;;" ""Âû åù¸ íå ãîòîâû..."" - âîò ïðåäëîã, ïîä êîòîðûì [From.GetTitledFirstName] îòêàçûâàåò ìíå â òèòóëå!";;x
EVTDESC37005;[Root.Liege.GetTitledFirstName] must have forgotten [Root.Liege.GetSheHe] promised [Root.Liege.GetSheHe] would grant me a title.;;;;;;;;;;;[Root.Liege.GetTitledFirstName] äîëæíî áûòü íå ïîìíèò, ÷òî [Root.Liege.GetHersHis] Ìèëîñòü îáåùàëè äàðîâàòü ìíå òèòóë.;;x
EVTDESC37006;My [GetFromRelation] [From.GetFirstName] is reminding me of my promise to grant [From.GetObjectPronoun] a fiefdom again...;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] íàïîìèíàåò î ìî¸ì îáåùàíèè ïðåäîñòàâèòü [From.GetHerHim] âëàäåíèå.;;x
EVTDESC37007;I asked [From.GetTitledFirstName] once again for a fiefdom but [From.GetTitledFirstName] refused to give me a title!;;;;;;;;;;;ß ïîïðîñèë åù¸ ðàç î âîò÷èíå, íî [From.GetTitledFirstName] îïÿòü îòêàçàë ìíå â òèòóëå!;;x
EVTDESC37011;[From.GetBestName] - a disgruntled noble from the court of [From.Liege.GetTitledName] - has appeared in my realm, furious that [From.GetPossPronoun] [FromScope.GetLiegeRelation] would deny [From.GetObjectPronoun] a title of [From.GetPossPronoun] own. [From.GetTitledFirstName] intends to raise an army and take the [From.Liege.PrimaryTitle.GetFullName] by force!;;;;;;;;;;;[From.GetBestName] ïðè äâîðå ïðàâèòåëÿ, èçâåñòíîãî êàê [From.Liege.GetTitledName] ÿâè[From.GetLasLsya] êî ìíå, íå ñêðûâàÿ ñâîåãî íåäîâîëüñòâà ïî ïîâîäó òîãî, ÷òî [From.GetAbsPossPronoun] [From.Liege.GetFromVsRelation] ìîæåò îòêàçàòü [From.GetHerHim] â òèòóëå çåìëè [From.Liege.PrimaryTitle.GetFullName]. [From.GetTitledFirstName] õî÷åò ñîáðàòü àðìèþ è âçÿòü ýòîò òèòóë ñèëîé!;;x
EVTDESC37012;[FromFrom.GetTitledFirstName] is so furious over my refusal to grant [FromFrom.GetObjectPronoun] a title that [FromFrom.GetSubjectPronoun] has left the realm for the court of [From.GetTitledName], letting it be known that [FromFrom.GetSubjectPronoun] is hiring troops to take what is 'rightfully' [FromFrom.GetPossPronoun] by force of arms!;;;;;;;;;;;[FromFrom.GetTitledFirstName] ðàçîçëè[FromFrom.GetLasLsya] èç-çà ìîåãî îòêàçà ïðåäîñòàâèòü [FromFrom.GetHerHim] òèòóë, è òåïåðü ïîêèíóë[From.GetEndA] ãîñóäàðñòâî, ÷òîáû ïðèñîåäèíèòüñÿ ê ïðàâèòåëþ ïî èìåíè [From.GetTitledName], ÷òîáû ñîáðàòü âîéñêà è çàáðàòü òî, ÷òî ïî ïðàâó [FromFrom.GetHersHis]!;;x
