#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC1000;A pretty wench is throwing herself at you.;;;;;;;;;;;Ïðåëåñòíàÿ ñëóæàíêà áðîñàåòñÿ íà Âàñ.;;x
EVTDESC1001;The cook has prepared a fine meal, but the priest preached about temperance...;;;;;;;;;;;Ïîâàð ïðèãîòîâèë îòëè÷íûé óæèí, íî ñâÿùåííèê ïðîïîâåäóåò óìåðåííîñòü...;;x
EVTDESC1002;The cook had prepared a magnificent meal, with lots of different fruits, various kinds of meat, plenty of freshly baked bread and several mature cheeses.;;;;;;;;;;;Ïîâàð ïðèãîòîâèë âåëèêîëåïíóþ åäó ñ ðàçíîîáðàçíûìè ôðóêòàìè, ðàçëè÷íûìè âèäàìè ìÿñà, îáèëèåì ñâåæåé âûïå÷êè è íåñêîëüêèìè ñîðòàìè âûäåðæàííîãî ñûðà.;;x
EVTDESC1003;After giving my advice on a delicate matter, the courtier asked me to accept a small gift of gold as thanks for my help;;;;;;;;;;;Ïîëó÷èâ îò ìåíÿ ñîâåò ïî äåëèêàòíîìó âîïðîñó, ïðèäâîðíûé ïðîñèò ìåíÿ ïðèíÿòü íåáîëüøîé êîøåëü ñ çîëîòîì â áëàãîäàðíîñòü çà ïîìîùü.;;x
EVTDESC1004;Work can be tedious and when one problem is solved another one pops up. I tire of having to complete the same tasks over and over again.;;;;;;;;;;;Ðàáîòà óòîìëÿåò. Ñòîèò ðåøèòüñÿ îäíîé ïðîáëåìå, òóò æå âîçíèêàåò äðóãàÿ. Êàê æå íàäîåëà ýòà ðóòèíà...;;x
EVTDESC1005;Her hair is always perfect, men love her charm and looks but she is also intelligent and well-spoken. She has been blessed with beauty, intelligence and success in all things.;;;;;;;;;;;Å¸ ïðè÷¸ñêà âñåãäà áåçóïðå÷íà, ìóæ÷èíû ëþáÿò å¸ çà êðàñîòó è îáàÿíèå, íî îíà, ê òîìó æå - óìíà, ìîæåò ïîääåðæàòü ðàçãîâîð íà ëþáóþ òåìó. Ïðèðîäà íàäåëèëà å¸ íåîòðàçèìîé âíåøîñòüþ è óìîì, îíà óñïåøíà âî âñåõ íà÷èíàíèÿõ.;;x
EVTDESC1006;It feels like everyone is trying to trump me! My huntsman killed more prey than I, my councillors found a better solution to the rebellious peasants than mine and I started to feel that everyone was better than I am, no matter what.;;;;;;;;;;;Òàêîå âïå÷àòëåíèå, ÷òî êàæäûé ñòàðàåòñÿ ìåíÿ â ÷¸ì-òî îáîéòè! Ìîé îõîòíèê äîáûë áîëüøå äè÷è, ìîè ñîâåòíèêè ëó÷øå ñïðàâëÿþòñÿ ñ äåëàìè, è ÿ íà÷èíàþ ÷óâñòâîâàòü, ÷òî âñå âîêðóã ëó÷øå ìåíÿ â ÷¸ì óãîäíî.;;x
EVTDESC1007;I don't think it was meant to hurt me, but the criticism still stung harder than it should have.;;;;;;;;;;;Íå äóìàþ, ÷òî ìåíÿ õîòåëè îáèäåòü, íî êðèòèêà óêîëîëà ìåíÿ áîëüíåå, ÷åì ñëåäóåò.;;x
EVTDESC1008;I took a good look at myself and thought about my weaknesses and strengths. After many hours of soul-searching, I realized:;;;;;;;;;;;ß òðåçâî îöåíèâàþ ñåáÿ, äóìàþ î ñâîèõ ñèëüíûõ è ñëàáûõ ñòîðîíàõ. Ïîñëå äîëãîãî ñàìîêîïàíèÿ ñòàëî ÿñíî, ÷òî...;;x
EVTDESC1009;It was one of those situations where you didn't want to tell the truth in case it would hurt the person, but in the same time, honesty is a virtue...;;;;;;;;;;;Ýòî êàê ðàç òàêàÿ ñèòóàöèÿ, êîãäà Âû, ñ îäíîé ñòîðîíû, íå õîòèòå ãîâîðèòü ïðàâäó, ÷òîáû íå îáèäåòü ÷åëîâåêà, íî, ñ äðóãîé ñòîðîíû, ÷åñòíîñòü - äîáðîäåòåëü.;;x
EVTDESC1010;I imagined a situation which became more and more intimidating, with an outcome that could mean life or death. I swallowed hard and decided that I would...;;;;;;;;;;;Ìíå ïðåäñòàâèëàñü ñèòóàöèÿ, ñòàíîâÿùàÿñÿ âñ¸ áîëåå è áîëåå ïóãàþùåé, ðåçóëüòàòîì êîòîðîé ìîãëà ñòàòü òîëüêî æèçíü èëè ñìåðòü. ß íåðâíî ñãëàòûâàþ è ðåøàþñü...;;x
EVTDESC1011;It started as an uneasiness around guests and strangers, then evolved into awkwardness and a strong feeling of discomfort.;;;;;;;;;;;Âñ¸ íà÷èíàëîñü ñ áåñïîêîéñòâà ïðè âèäå ãîñòåé è íåçíàêîìöåâ, à ïîòîì ïîÿâèëàñü íåëîâêîñòü è, íàêîíåö, ñòîéêîå ÷óâñòâî äèñêîìôîðòà îò èõ ïðèñóòñòâèÿ.;;x
EVTDESC1012;I could strive to become better, or I can be satisfied with who I am and what I have.;;;;;;;;;;;Ìîæíî ñòðåìèòüñÿ ê ëó÷øåìó, à ìîæíî äîâîëüñòâîâàòüñÿ òåì, ÷òî èìååøü.;;x
EVTDESC1013;If my opinion ruled, the world would be a more chaotic but fun place. If I keep following the laws, the world would have less chaos but also be less fun.;;;;;;;;;;;Åñëè ÿ áóäó óïðàâëÿòü, ðóêîâîäñòâóÿñü ñâîåé ïðèõîòüþ, ìèð áóäåò íàìíîãî çàáàâíåå. Åñëè æå ÿ áóäó ñëåäîâàòü çàêîíàì, áóäåò ïîðÿäîê, íî ýòî òàê ñêó÷íî.;;x
EVTDESC1014;If there is a God, why is the world filled with hardships, grief and heretics?;;;;;;;;;;;Åñëè Áîã åñòü, ïî÷åìó â ìèðå ñòîëüêî çëà è íåñïðàâåäëèâîñòè?;;x
EVTDESC1015;The court is filled with young, beautiful men and the attention they give me is making it hard for me to refuse them. Who wouldn't want one of them in their bed?;;;;;;;;;;;Ìîé äâîð ïîëîí ìîëîäûõ ïðèâëåêàòåëüíûõ ìóæ÷èí. Îíè òàê âíèìàòåëüíû êî ìíå, ÷òî èì òðóäíî îòêàçàòü. Íå íàâåñòèòü ëè êîãî-íèáóäü èç íèõ â ïîñòåëè?;;x
EVTDESC1016;Lately I have become afraid that someone might want to hurt me. I am thinking about hiring a, no, two food-tasters and... maybe a bodyguard would be a good idea?;;;;;;;;;;;Â ïîñëåäíåå âðåìÿ ìåíÿ îäîëåâàþò ïîäîçðåíèÿ, ÷òî êòî-òî õî÷åò ìíå íàâðåäèòü. ß ïîäóìûâàþ î òîì, ÷òîáû çàâåñòè ñåáå äåãóñòàòîðà, èëè äàæå äâóõ. À ìîæåò, åù¸ è òåëîõðàíèòåëÿ íàíÿòü?;;x
EVTDESC1017;After I had made another courtier cry, the third one in a short week, I felt a bit embarrassed. Is this really who I am, a cruel [Root.GetManWoman] who likes to hurt people?;;;;;;;;;;;Äîâåäÿ äî ñë¸ç î÷åðåäíîãî ïðèäâîðíîãî, óæå òðåòüåãî çà íåäåëþ, ÿ ÷óâñòâóþ ñìóùåíèå. Íåóæåëè ìíå íðàâèòñÿ èñòÿçàòü äðóãèõ ëþäåé?;;x
