#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC_GBC_1;[GBC_dead_one.GetTitledFirstName] died from the plague. Oh noes!;;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñ ïðèñêîðáèåì âûíóæäåíû ñîîáùèòü, ÷òî ìèíóâøèì óòðîì [GBC_dead_one.GetTitledFirstName] ñêîí÷à[GBC_dead_one.GetLasLsya] îò ÷óìû.;;x
EVTDESC_GBC_2;It's been a while since [GBC_dead_one.GetTitledName] left this mortal world, but not a day goes by that [GBC_dead_one.GetSheHe] does not cross your mind. It can be in the morning, when you first put your feet on the cold floor - you pause as you suddenly remember the black blisters on [GBC_dead_one.GetHerHis] skin. It can be during supper, when [GBC_dead_one.GetHerHis] favorite food is being served, but what can you do? Should you demand the next child at court be named after [GBC_dead_one.GetHerHim]? \n\nYou shake your head. Most often the doubts come in the night. When the stars are out, the world is quiet and you are alone with your thoughts. Such a horrible fate [GBC_dead_one.GetSheHe] suffered, in the end. Was it truly the will of [Root.Religion.GetHighGodName]?;;;;;;;;;;;Ïðîøëî óæå íåêîòîðîå âðåìÿ ñ òåõ ïîð, êàê [GBC_dead_one.GetTitledName] ïîêèíóë[GBC_dead_one.GetEndA] ýòîò áðåííûé ìèð, íî ìûñëè î í[GBC_dead_one.GetEyYom] íå ïîêèäàþò Âàñ. Èíîãäà ïî óòðàì, Âàñ ïðåñëåäóåò îáðàç [GBC_dead_one.GetHersHis] ëèöà, ïîêðûòîãî ÷¸ðíûìè ïÿòíàìè. Èëè æå çà óæèíîì, êîãäà ïîäàþò [GBC_dead_one.GetHersHis] ëþáèìûå áëþäà. Íî, ÷òî Âû ìîæåòå ñäåëàòü? Áûòü ìîæåò, íàçâàòü ñëåäóþùåãî íîâîðîæä¸ííîãî ïðè äâîðå â ÷åñòü í[GBC_dead_one.GetHersHis]?\n×àñòî ïî íî÷àìè Âàñ ìó÷àþò ñîìíåíèÿ. Êîãäà âñ¸ âîêðóã çàòèõàåò, è Âû îñòà¸òåñü íàåäèíå ñî ñâîèìè ìûñëÿìè. Ïî÷åìó? Çà ÷òî ñòîëü óæàñíàÿ ñóäüáà ïîñòèãëà [GBC_dead_one.GetHersHis]. Íåóæåëè [Root.Religion.GetHighGodName] ýòîãî ïîæåëàë[Root.GetHGodEndA]?;;x
EVTDESC_GBC_3_A;I've been thinking a lot on [GBC_dead_one.GetTitledName] and what happens when we die. My [Root.GetLordSpiritualName] has advised me to look inwards and let the wisdom of [Root.Religion.GetHighGodName] comfort me. Yet when I'm alone in the dark any divine presence fails me.;;;;;;;;;;;[GBC_dead_one.GetTitledName]... [GBC_dead_one.GetHersHisCap] áîëüøå íåò, è ÿ íå ìîãó ïåðåñòàòü äóìàòü îá ýòîì. ×òî æä¸ò íàñ ïîñëå ñìåðòè? [Root.GetLordSpiritualName] ñîâåòóåò ìíå çàãëÿíóòü âíóòðü ñåáÿ, è òîãäà [Root.Religion.GetHighGodName] â ñâîåé áåñêîíå÷íîé ìóäðîñòè ïîìîæåò ìíå ýòî ïîíÿòü. Íî, êîãäà ÿ îä[Root.GetNaIn], â òåìíîòå, âûñøèå ñèëû íå ïîìîãàþò ìíå.;;x
EVTDESC_GBC_3_B;I've been thinking a lot on [GBC_dead_one.GetTitledName] and what happens when we die. I've tried looking inwards and let the wisdom of [Root.Religion.GetHighGodName] comfort me, yet when I'm alone in the dark any divine presence fails me.;;;;;;;;;;;[GBC_dead_one.GetTitledName]... [GBC_dead_one.GetHersHisCap] áîëüøå íåò, è ÿ íå ìîãó ïåðåñòàòü äóìàòü îá ýòîì. ×òî æä¸ò íàñ ïîñëå ñìåðòè? ß ïûòàþñü çàãëÿíóòü â ñåáÿ è íàéòè îòâåòû. Êàæåòñÿ, [Root.Religion.GetHighGodName] ïîääåðæèâàåò ìåíÿ, íî êîãäà ÿ îñòàþñü îä[Root.GetNaIn] â òåìíîòå, òî íå ìîãó íàéòè Åãî.;;x
EVTDESC_GBC_5;"[GBC_new_friend.GetTitledFirstName] approached me today. Apparently [GBC_new_friend.GetSheHe] has noticed the regularity with which I've been visiting the grave of [GBC_dead_one.GetTitledName], but [GBC_new_friend.GetSheHe] hasn't wanted to disturb me... ""Surely a [Root.GetTitle] doesn't need to talk about [Root.GetHerHis] grief"" [GBC_new_friend.GetSheHe] said, smiling awkwardly.";;;;;;;;;;;"[GBC_new_friend.GetTitledFirstName] ñåãîäíÿ âñòðåòèë[GBC_new_friend.GetEndA] ìåíÿ îêîëî ìîãèëû, êîòîðóþ ÿ â ïîñëåäíåå âðåìÿ ïîñåùàþ ÷óòü ëè íå êàæäûé äåíü. ""[GBC_dead_one.GetTitledName]... Íàì âñåì [GBC_dead_one.GetHersHis] íå õâàòàåò. Íî [Root.GetTitle] íå äîëæ[Root.GetNaEn] ïîêàçûâàòü ñâî¸ ãîðå. Ïîíèìàþ, ýòî òÿæåëî"", — ñïîêîéíî ñêàçàë[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe].";;x
EVTDESC_GBC_6;"[GBC_new_friend.GetFirstName] tells me that our [GBC_dead_one.GetTitledName] had a way with birds. I had no idea! Noticing my astonished expression, [GBC_new_friend.GetFirstName] has now introduced me to Hedwig, an adorable little owl. Apparently it used to belong to [GBC_dead_one.GetFirstName]. ""I think she likes you"" [GBC_new_friend.GetSheHe] says, stroking its head.";;;;;;;;;;;"[GBC_new_friend.GetFirstName] ðàññêàçàë[GBC_new_friend.GetEndA] ìíå, ÷òî [GBC_dead_one.GetTitledName] óâëåêà[GBC_dead_one.GetLasLsya] ïòèöàìè. ß è ïîíÿòèÿ íå èìåë[Root.GetEndA]. Îêàçûâàåòñÿ, ó í[GBC_dead_one.GetHersHis] áûëà ðó÷íàÿ ñîâà. ""Ýòî Ãåêàòà. Ïîõîæå, Âû åé íðàâèòåñü"", — ñ ë¸ãêîé óëûáêîé ñêàçàë[GBC_new_friend.GetEndA] [GBC_new_friend.GetFirstName], ïîãëàæèâàÿ å¸ ãîëîâó.";;x
EVTDESC_GBC_8;"Alone in my chambers, having just fed my beloved bird, [GBC_new_friend.GetFirstName] bursts into the room, promptly marching over to Hedwig. ""I've changed my mind!"" [GBC_new_friend.GetSheHe] says belligerently, grabbing the cage.";;;;;;;;;;;"Òèõîå ñïîêîéíîå óòðî. ß â ñâ[Root.GetMyChamberPREP] êîðìèë[Root.GetEndA] ëþáèìóþ ñîâó. Âäðóã [GBC_new_friend.GetFirstName] âîðâà[GBC_new_friend.GetLasLsya] â êîìíàòó è ñðàçó íàïðàâè[GBC_new_friend.GetLasLsya] ê Ãåêàòå. ""ß ïåðåäóìàë[GBC_new_friend.GetEndA]!"" — çàÿâèë[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe], áåñöåðåìîííî çàáðàâ êëåòêó.";;x
EVTDESC_GBC_9;"[GBC_new_friend.GetFirstName] pauses and hides [GBC_new_friend.GetHerHis] face in [GBC_new_friend.GetHerHis] hands. ""I'm sorry, [Root.GetFirstName]. I don't know what I'm doing."" When [GBC_new_friend.GetSheHe] finally meets my eyes, tears stain [GBC_new_friend.GetHerHis] cheeks. ""I think I'm dying. You're going to lose me, like we lost [GBC_dead_one.GetFirstName].""";;;;;;;;;;;"[GBC_new_friend.GetFirstName] îñòàíîâè[GBC_new_friend.GetLasLsya] è çàêðûë[GBC_new_friend.GetEndA] ñâî¸ ëèöî ðóêàìè: ""Ïðîñòè, [Root.GetFirstName]. ß íå çíàþ, ÷òî äåëàþ"". Êîãäà [GBC_new_friend.GetSheHe] óáðàë[GBC_new_friend.GetEndA] ðóêè, ÿ óâèäåë[Root.GetEndA], êàê ïî [GBC_new_friend.GetHersHis] ùåêàì òåêëè ñë¸çû: ""Ìíå êàæåòñÿ, ÿ óìèðàþ. ß ïîêèíó òåáÿ òî÷íî òàê æå, êàê [GBC_dead_one.GetFirstName] ïîêèíóë íàñ"".";;x
EVTDESC_GBC_10;"[GBC_new_friend.GetFirstName] drops to [GBC_new_friend.GetHerHis] knees and starts to loudly sob, face in [GBC_new_friend.GetHerHis] hands. ""Oh, [Root.GetFirstName], I shouldn't burden you with this. Nay, I should not even be here!"" Hedwig tilts her head at you as [GBC_new_friend.GetFirstName] runs away, leaving you alone with the puzzled bird.";;;;;;;;;;;"[GBC_new_friend.GetFirstName] óïàë[GBC_new_friend.GetEndA] íà êîëåíè è çàðûäà[GBC_new_friend.GetEndA]: ""Ìíå íå ñëåäîâàëî îáðåìåíÿòü òåáÿ ýòèì. Ìåíÿ âîîáùå íå äîëæíî áûòü çäåñü!""\n[GBC_new_friend.GetFirstName] óáåæàë ïðî÷ü, îñòàâèâ ìåíÿ íàåäèíå ñ çàãàäî÷íîé ïòèöåé.";;x
EVTDESC_GBC_11;"[GBC_new_friend.GetFirstName] throws a fist into the wall and curses under [GBC_new_friend.GetHerHis] breath before turning to you. ""You don't understand, do you, my [Root.GetLordLady]?! Everyone will disappear! You and me. Even this stupid bird!"" [GBC_new_friend.GetSheHe] yells. The owl glances at you, indifference in her eyes.";;;;;;;;;;;"[GBC_new_friend.GetFirstName], ïðîáîðìîòàâ ïðîêëÿòüÿ, ðåçêî óäàðèë[GBC_new_friend.GetEndA] êóëàêîì ïî ñòåíå. ""Âû íå ïîíèìàåòå... Íå òàê ëè, [Root.PrimaryTitle.GetFOA]?! Âñ¸ ñãèíåò â íåáûòèå! È Âû, è ÿ, è äàæå ýòà ÷¸ðòîâà ïòèöà!"" — ïðîêðè÷àë[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe]. Ñîâà óñòàâèëàñü íà ìåíÿ ñ ïîëíûì áåçðàçëè÷èåì â ãëàçàõ.";;x
EVTDESC_GBC_12_A;"The idea that [GBC_new_friend.GetTitledName] would be taken from this world has had an effect on your posture. When [GBC_new_friend.GetSheHe] joins you for breakfast one morning, a spring in [GBC_new_friend.GetHerHis] step and a wide smile on [GBC_new_friend.GetHerHis] face, you unconsciously straighten your back. The usually pale countenance of your friend has even made your own appetite vanish on occasion. Yet there is something different about [GBC_new_friend.GetHerHim] now... \n\n""The physician tells me it was just a fever!"" [GBC_new_friend.GetSheHe] says jubilantly, joining you at your table. ""Oh, come on, [Root.GetFirstName]. You didn't think I'd abandon you, did you? Who'd look after the country? Alright, alright, but who would've looked after you?""";;;;;;;;;;;"Ñàìà ìûñëü î òîì, ÷òî [GBC_new_friend.GetTitledName] ìîæåò ïîêèíóòü ýòîò ìèð, ñåðü¸çíî ïîäêîñèëà Âàñ. Íî ñåãîäíÿ, êîãäà [GBC_new_friend.GetSheHe] ïðèñîåäèíè[GBC_new_friend.GetLasLsya] ê Âàì çà çàâòðàêîì, [GBC_new_friend.GetHersHis] óâåðåííàÿ ïîõîäêà è øèðîêàÿ óëûáêà ñòàëè äëÿ Âàñ ãëîòêîì ñâåæåãî âîçäóõà. ×òî-òî èçìåíèëîñü â í[GBC_new_friend.GetEyYom]...\n""Ïðåäñòàâëÿåøü, ëåêàðü ãîâîðèò, ýòî áûëà îáû÷íàÿ ëèõîðàäêà! — ëèêóþùå çàÿâèë[GBC_new_friend.GetEndA] [GBC_new_friend.GetSheHe]. — Íó áðîñü... Òû âåäü íå äóìàë[Root.GetEndA], ÷òî ÿ îñòàâëþ òåáÿ? Êòî æå ïðèñìîòðèò çà ãîñóäàðñòâîì? Ëàäíî, íî êòî ïðèñìîòðèò çà òîáîé?""";;x
