religion_adventuring;Daring;;;;;;;;;;;Îòâàãà;;x
religion_adventuring_desc;The gods praise bravery and a free spirit. They encourage even the smallest man to reach for the stars.;;;;;;;;;;;Áîãè âîñõâàëÿþò õðàáðîñòü è ñâîáîäó äóõà. Îíè äàðÿò íàäåæäó âñåì.;;x
religion_animistic;Animistic;;;;;;;;;;;Àíèìèçì;;x
religion_animistic_desc;Spirits and magic are all around us, hiding inside every tree, under every river, flying above our heads and beneath the very earth we walk on.;;;;;;;;;;;Äóõè è ìàãèÿ ïðîíèçûâàþò âñ¸ âîêðóã íàñ. Îíè â êàæäîì äåðåâå, â êàæäîì ðó÷åéêå, âèòàþò â âîçäóõå è ïðîïèòûâàþò çåìëþ, ïî êîòîðîé ìû õîäèì.;;x
religion_animistic_feature;Upon reaching adulthood, characters perform a rite of passage.;;;;;;;;;;;Ïî äîñòèæåíèè ñîâåðøåííîëåòèÿ íóæíî ïðîéòè îñîáûé îáðÿä.;;x
religion_astrology;Astrology;;;;;;;;;;;Àñòðîëîãèÿ;;x
religion_astrology_desc;The gods wrote our Fate in the stars. We only need to look up to know what lies within us.;;;;;;;;;;;Áîãè çàïèñàëè íàøó ñóäüáó â çâ¸çäíîì íåáå. Íàäî ëèøü óñòðåìèòü ñâîé âçîð ê çâ¸çäàì, ÷òîáû óçíàòü ÷òî îíè íàì óãîòîâèëè.;;x
religion_astrology_feature;Characters are born under specific Zodiac signs;;;;;;;;;;;Çíàêè çîäèàêà ó÷èòûâàþòñÿ ïðè ðîæäåíèè è ÿâëÿþòñÿ ÷åðòàìè õàðàêòåðà;;x
religion_autocephaly;Autocephalous;;;;;;;;;;;Àâòîêåôàëèÿ;;x
religion_autocephaly_desc;Every realm shall have its High Priest, working alongside its ruler and fulfilling the needs of the gods and their followers.;;;;;;;;;;;Êàæäàÿ ñòðàíà äîëæíà èìåòü ñâîåãî Ïåðâîñâÿùåííèêà â ïîìîùü ïðàâèòåëþ, äàáû óäîâëåòâîðÿòü ïîòðåáíîñòè áîãîâ è èõ ïîñëåäîâàòåëåé.;;x
religion_beatification;Ancestor Veneration;;;;;;;;;;;Êóëüò ïðåäêîâ;;x
religion_beatification_desc;Our pious ancestors deserve our respect and veneration, it is only right for us to remember them fittingly.;;;;;;;;;;;Íàøè ìóäðûå ïðåäêè çàñëóæèâàþò ïî÷èòàíèÿ è óâàæåíèÿ, íàø ñâÿòîé äîëã - ïîìíèòü î íèõ è îòäàâàòü èì ïî÷åñòè ÷åðåç ïðàâåäíûå ðèòóàëû.;;x
religion_beatification_feature;Can venerate ancestors;;;;;;;;;;;Ìîæíî ÷òèòü ïðåäêîâ;;x
religion_cosmopolitan;Cosmopolitan;;;;;;;;;;;Êîñìîïîëèòè÷íàÿ;;x
religion_cosmopolitan_desc;We must acknowledge that every group of people has its own protectors and that more often than not we all worship the same gods, but with different names and in different ways.;;;;;;;;;;;Ìû äîëæíû ïðèçíàòü, ÷òî ó êàæäîãî íàðîäà åñòü ñâîè ïîêðîâèòåëè, è ÷òî âñå ìû ïîêëîíÿåìñÿ îäíèì è òåì æå áîãàì, ïðîñòî çíàåì èõ ïîä ðàçíûìè èìåíàìè.;;x
religion_defensive;Unyielding;;;;;;;;;;;Íåñãèáàåìàÿ;;x
religion_defensive_desc;We might never spread the worship of our gods to all the corners of the worlds, but we are committed to make our ancestral lands impregnable to missionaries and infidels.;;;;;;;;;;;Ïóñòü ìû íå ñìîæåì äîíåñòè ãëàñ íàøèõ áîãîâ âî âñå óãîëêè ìèðà, íî è ñëîâà íåâåðíûõ íå êîñíóòñÿ íàøåé çåìëè.;;x
religion_dogmatic;Dogmatic;;;;;;;;;;;Äîãìàòè÷åñêàÿ;;x
religion_dogmatic_desc;There is only One Word, only one correct interpretation of our scriptures, only one way to please the gods.;;;;;;;;;;;Åñòü ëèøü îäíî Ñëîâî, ëèøü îäíî èñòèííîå òîëêîâàíèå Ñâÿùåííûõ Ïèñàíèé, ëèøü îäèí ñïîñîá îáðåñòè áîãà.;;x
religion_equal;Equality;;;;;;;;;;;Ðàâåíñòâî;;x
religion_equal_desc;Both gods and goddesses rule the heavens, and so it is only just to allow both men and women to rule the Earth.;;;;;;;;;;;Áîãè è áîãèíè óïðàâëÿþò íåáåñàìè, ýòî ëè íå çíàê, ÷òî ìóæ÷èíû è æåíùèíû ðàâíû â ïðàâàõ?;;x
religion_equal_feature;Both men and women have equal access to all positions of power;;;;;;;;;;;Ìóæ÷èíû è æåíùèíû èìåþò ðàâíûå ïðàâà è ñòàòóñ â ïîëèòèêå;;x
religion_feature_aztec;Invaders;;;;;;;;;;;Âòîðæåíèå;;x
